postcode,suburb,region,organisation ID,council name
3150,Wheelers Hill,Melbourne,MONA,Monash City
3151,Burwood East,Melbourne,WHHO,Whitehorse City
3152,Wantirna,Melbourne,KNOX,Knox City
3152,Wantirna South,Melbourne,KNOX,Knox City
3153,Bayswater,Melbourne,KNOX,Knox City
3153,Bayswater North,Melbourne,MARO,Maroondah City
3154,The Basin,Melbourne,KNOX,Knox City
3155,Boronia,Melbourne,KNOX,Knox City
3156,Ferntree Gully,Melbourne,KNOX,Knox City
3156,Lysterfield,Melbourne,KNOX,Knox City
3156,Lysterfield,Melbourne,YRAN,Yarra Ranges Shire
3156,Lysterfield South,Melbourne,CASE,Casey City
3156,Upper Ferntree Gully,Melbourne,KNOX,Knox City
3156,Upper Ferntree Gully,Melbourne,YRAN,Yarra Ranges Shire
3158,Upwey,Yarra Valley &#038; Dandenong Ranges,YRAN,Yarra Ranges Shire
3159,Menzies Creek,Yarra Valley &#038; Dandenong Ranges,YRAN,Yarra Ranges Shire
3159,Menzies Creek,Yarra Valley &#038; Dandenong Ranges,CARD,Cardinia Shire
3160,Belgrave,Yarra Valley &#038; Dandenong Ranges,YRAN,Yarra Ranges Shire
3160,Belgrave Heights,Yarra Valley &#038; Dandenong Ranges,YRAN,Yarra Ranges Shire
3160,Belgrave South,Yarra Valley &#038; Dandenong Ranges,YRAN,Yarra Ranges Shire
3160,Selby,Yarra Valley &#038; Dandenong Ranges,YRAN,Yarra Ranges Shire
3160,Tecoma,Yarra Valley &#038; Dandenong Ranges,YRAN,Yarra Ranges Shire
3161,Caulfield North,Melbourne,GLNC,Glen Eira City
3162,Caulfield,Melbourne,GLNC,Glen Eira City
3162,Caulfield South,Melbourne,GLNC,Glen Eira City
3163,Carnegie,Melbourne,GLNC,Glen Eira City
3163,Glen Huntly,Melbourne,GLNC,Glen Eira City
3163,Murrumbeena,Melbourne,GLNC,Glen Eira City
3165,Bentleigh East,Melbourne,GLNC,Glen Eira City
3166,Hughesdale,Melbourne,MONA,Monash City
3166,Huntingdale,Melbourne,MONA,Monash City
3166,Oakleigh,Melbourne,MONA,Monash City
3166,Oakleigh East,Melbourne,MONA,Monash City
3167,Oakleigh South,Melbourne,MONA,Monash City
3167,Oakleigh South,Melbourne,KING,Kingston City
3168,Clayton,Melbourne,MONA,Monash City
3168,Notting Hill,Melbourne,MONA,Monash City
3169,Clarinda,Melbourne,KING,Kingston City
3169,Clayton South,Melbourne,KING,Kingston City
3170,Mulgrave,Melbourne,MONA,Monash City
3171,Springvale,Melbourne,GDAN,Greater Dandenong City
3172,Dingley Village,Melbourne,KING,Kingston City
3172,Springvale South,Melbourne,GDAN,Greater Dandenong City
3173,Keysborough,Melbourne,GDAN,Greater Dandenong City
3174,Noble Park,Melbourne,GDAN,Greater Dandenong City
3174,Noble Park North,Melbourne,GDAN,Greater Dandenong City
3175,Bangholme,Melbourne,GDAN,Greater Dandenong City
3175,Dandenong,Melbourne,GDAN,Greater Dandenong City
3175,Dandenong North,Melbourne,GDAN,Greater Dandenong City
3175,Dandenong South,Melbourne,GDAN,Greater Dandenong City
3177,Doveton,Melbourne,CASE,Casey City
3177,Eumemmerring,Melbourne,CASE,Casey City
3178,Rowville,Melbourne,KNOX,Knox City
3179,Scoresby,Melbourne,KNOX,Knox City
3180,Knoxfield,Melbourne,KNOX,Knox City
3181,Prahran,Melbourne,STON,City of Stonnington
3182,St Kilda,Melbourne,PPHI,City of Port Phillip
3182,St Kilda West,Melbourne,PPHI,City of Port Phillip
3182,Windsor,Melbourne,PPHI,City of Port Phillip
3182,Windsor,Melbourne,STON,City of Stonnington
3183,Balaclava,Melbourne,PPHI,City of Port Phillip
3183,Ripponlea,Melbourne,PPHI,City of Port Phillip
3183,St Kilda East,Melbourne,PPHI,City of Port Phillip
3183,St Kilda East,Melbourne,GLNC,Glen Eira City
3184,Elwood,Melbourne,PPHI,City of Port Phillip
3185,Elsternwick,Melbourne,GLNC,Glen Eira City
3186,Brighton,Melbourne,BAYS,Bayside City
3186,Gardenvale,Melbourne,GLNC,Glen Eira City
3187,Brighton East,Melbourne,GLNC,Glen Eira City
3187,Brighton East,Melbourne,BAYS,Bayside City
3188,Hampton,Melbourne,BAYS,Bayside City
3189,Moorabbin,Melbourne,KING,Kingston City
3190,Highett,Melbourne,KING,Kingston City
3190,Highett,Melbourne,BAYS,Bayside City
3191,Hampton East,Melbourne,BAYS,Bayside City
3191,Sandringham,Melbourne,BAYS,Bayside City
3192,Cheltenham,Melbourne,BAYS,Bayside City
3192,Cheltenham,Melbourne,KING,Kingston City
3193,Beaumaris,Melbourne,BAYS,Bayside City
3193,Black Rock,Melbourne,BAYS,Bayside City
3194,Mentone,Melbourne,KING,Kingston City
3194,Moorabbin Airport,Melbourne,KING,Kingston City
3195,Aspendale,Melbourne,KING,Kingston City
3195,Aspendale Gardens,Melbourne,KING,Kingston City
3195,Braeside,Melbourne,KING,Kingston City
3195,Mordialloc,Melbourne,KING,Kingston City
3195,Parkdale,Melbourne,KING,Kingston City
3195,Waterways,Melbourne,KING,Kingston City
3196,Bonbeach,Melbourne,KING,Kingston City
3196,Chelsea,Melbourne,KING,Kingston City
3196,Chelsea Heights,Melbourne,KING,Kingston City
3196,Edithvale,Melbourne,KING,Kingston City
3197,Carrum,Melbourne,KING,Kingston City
3197,Patterson Lakes,Melbourne,KING,Kingston City
3199,Frankston,Mornington Peninsula,FRAN,Frankston City Council
3199,Frankston South,Mornington Peninsula,FRAN,Frankston City Council
3200,Frankston North,Mornington Peninsula,FRAN,Frankston City Council
3200,Seaford,Mornington Peninsula,FRAN,Frankston City Council
3201,Carrum Downs,Mornington Peninsula,FRAN,Frankston City Council
3202,Heatherton,Melbourne,KING,Kingston City
3204,Bentleigh,Melbourne,GLNC,Glen Eira City
3204,Mckinnon,Melbourne,GLNC,Glen Eira City
3204,Ormond,Melbourne,GLNC,Glen Eira City
3205,South Melbourne,Melbourne,PPHI,City of Port Phillip
3206,Albert Park,Melbourne,PPHI,City of Port Phillip
3206,Middle Park,Melbourne,PPHI,City of Port Phillip
3207,Port Melbourne,Melbourne,PPHI,City of Port Phillip
3207,Port Melbourne,Melbourne,MELC,City of Melbourne - What&#039;s On
3211,Little River,Great Ocean Road,GGEE,Greater Geelong City
